unfold0 file,unfold0 result,unfold0 duration,cvc5 filename,cvc5 result,cvc5 duration,unfold5 file,unfold5 result,unfold5 duration,no_interp file,no_interp result,no_interp duration,sqlsolver filename,sqlsolver result,sqlsolver duration,modified_sqlsolver file,modified_sqlsolver result,modified_sqlsolver duration
bapa/arith/fol_0000028.smt2,unsat,0.14421510696411133,arith/cvc5_bapa/fol_0000028.smt2,unsat,0.052307844161987305,bapa/arith/fol_0000028.smt2,unsat,0.1246640682220459,bapa/arith/fol_0000028.smt2,unsat,1.876671314239502,arith/cvc5_bapa/fol_0000028.smt2,unsat,0.114,arith/cvc5_bapa/fol_0000028.smt2,unsat,0.111
bapa/arith/fol_0000029.smt2,sat,0.458538293838501,arith/cvc5_bapa/fol_0000029.smt2,sat,0.058304786682128906,bapa/arith/fol_0000029.smt2,sat,0.468080997467041,bapa/arith/fol_0000029.smt2,sat,0.6111249923706055,arith/cvc5_bapa/fol_0000029.smt2,sat,0.117,arith/cvc5_bapa/fol_0000029.smt2,unknown,0.111
bapa/arith/fol_0000030.smt2,unsat,0.07634568214416504,arith/cvc5_bapa/fol_0000030.smt2,unsat,0.013108015060424805,bapa/arith/fol_0000030.smt2,unsat,0.09053897857666016,bapa/arith/fol_0000030.smt2,unsat,0.6271519660949707,arith/cvc5_bapa/fol_0000030.smt2,unsat,0.019,arith/cvc5_bapa/fol_0000030.smt2,unsat,0.017
bapa/arith/fol_0000031.smt2,sat,0.1199491024017334,arith/cvc5_bapa/fol_0000031.smt2,sat,0.028362035751342773,bapa/arith/fol_0000031.smt2,sat,0.2215561866760254,bapa/arith/fol_0000031.smt2,sat,0.30202388763427734,arith/cvc5_bapa/fol_0000031.smt2,sat,0.013,arith/cvc5_bapa/fol_0000031.smt2,sat,0.012
bapa/arith/fol_0000032.smt2,unsat,0.07690191268920898,arith/cvc5_bapa/fol_0000032.smt2,unsat,0.010257959365844727,bapa/arith/fol_0000032.smt2,unsat,0.09144091606140137,bapa/arith/fol_0000032.smt2,unsat,0.47170591354370117,arith/cvc5_bapa/fol_0000032.smt2,unsat,0.016,arith/cvc5_bapa/fol_0000032.smt2,unsat,0.016
bapa/arith/fol_0000033.smt2,sat,0.16228699684143066,arith/cvc5_bapa/fol_0000033.smt2,sat,0.03035902976989746,bapa/arith/fol_0000033.smt2,sat,0.17106199264526367,bapa/arith/fol_0000033.smt2,sat,0.09777998924255371,arith/cvc5_bapa/fol_0000033.smt2,sat,0.013,arith/cvc5_bapa/fol_0000033.smt2,sat,0.013
bapa/arith/fol_0000034.smt2,unsat,0.0761711597442627,arith/cvc5_bapa/fol_0000034.smt2,unsat,0.010247945785522461,bapa/arith/fol_0000034.smt2,unsat,0.09142684936523438,bapa/arith/fol_0000034.smt2,unsat,0.5413658618927002,arith/cvc5_bapa/fol_0000034.smt2,unsat,0.016,arith/cvc5_bapa/fol_0000034.smt2,unsat,0.015
bapa/arith/fol_0000035.smt2,sat,0.12114906311035156,arith/cvc5_bapa/fol_0000035.smt2,sat,0.030086994171142578,bapa/arith/fol_0000035.smt2,sat,0.7623751163482666,bapa/arith/fol_0000035.smt2,sat,0.11822080612182617,arith/cvc5_bapa/fol_0000035.smt2,sat,0.014,arith/cvc5_bapa/fol_0000035.smt2,sat,0.013
bapa/arith/fol_0000036.smt2,sat,0.11584997177124023,arith/cvc5_bapa/fol_0000036.smt2,sat,0.010775089263916016,bapa/arith/fol_0000036.smt2,sat,0.15014004707336426,bapa/arith/fol_0000036.smt2,sat,0.29172706604003906,arith/cvc5_bapa/fol_0000036.smt2,sat,0.012,arith/cvc5_bapa/fol_0000036.smt2,sat,0.012
bapa/arith/fol_0000037.smt2,sat,0.1195521354675293,arith/cvc5_bapa/fol_0000037.smt2,sat,0.0323638916015625,bapa/arith/fol_0000037.smt2,sat,0.34435606002807617,bapa/arith/fol_0000037.smt2,sat,0.0932610034942627,arith/cvc5_bapa/fol_0000037.smt2,sat,0.097,arith/cvc5_bapa/fol_0000037.smt2,unknown,0.093
